Rectangle ( W x L) ,Circle,Oval ( W x L),Square,Durable Sizes (W x L)
0.5 x 1.5 ,0.5,2 x 1 ,0.75 x 0.75,4.5 x 11
0.66 x 1.75 ,0.625,2 x 1.5 ,1x1,6 x 8
0.75 x 1.5 ,0.75,2.5 x 1.5 ,1.25 x 1.25,8.5 x 5.5
0.75 x 2.5 ,1,3  x 1.5 ,1.5 x 1.5,8.5 x 11
1  x 2.5 ,1.25,1 x 2 ,1.75 x 1.75,8.5 x 14
1  x 4 ,1.5,1.5 x 2 ,2 x 2 ,
1 x 1.5 ,1.75,3  x 2 ,2.25 x 2.25,
1 x 2 ,2,3.333 x 2 ,2.5 x 2.5 ,
1 x 2.625 ,2.25,4  x 2 ,2.75 x 2.75 ,
1 x 3 ,2.5,1.5  x 2.5 ,3 x 3 ,
1 x 3.5 ,2.75,3  x 2.5 ,3.5 x 3.5,
1 x 7 ,3,1.5  x 3 ,4 x 4 ,
1.25  x 1.75 ,3.125,2  x 3 ,4.5 x 4.5 ,
1.25 x 1.5 ,3.25,2.5  x 3 ,5 x 5 ,
1.25 x 2.25 ,3.5,4  x 3 ,5.25 x 5.25,
1.375 x 8.1875 ,3.75,5  x 3 ,5.5 x 5.5,
1.5  x 3 ,4,2  x 3.333 ,6 x 6 ,
1.5  x 3.75 ,4.5,4 x 3.5 ,8 x 8 ,
1.5  x 4 ,5,3  x 4 ,,
1.5  x 7.75 ,5.5,6  x 4 ,,
1.5 x 0.5 ,6,3  x 5 ,,
1.5 x 0.75 ,,4 x 6 ,,
1.5 x 2 ,,,,
1.5 x 2.5 ,,,,
1.5 x 2.625 ,,,,
1.5 x 4 ,,,,
1.5 x 5 ,,,,
1.5 x 6 ,,,,
1.5 x 7.5 ,,,,
1.75  x 3 ,,,,
1.75  x 3.75 ,,,,
1.75 x 0.66 ,,,,
1.75 x 1.25 ,,,,
1.75 x 4 ,,,,
1.75 x 4.25 ,,,,
2  x 1.5 ,,,,
2  x 3.25 ,,,,
2  x 3.5 ,,,,
2  x 4 ,,,,
2  x 4.25 ,,,,
2  x 5 ,,,,
2  x 7 ,,,,
2 x 1 ,,,,
2 x 3 ,,,,
2 x 4.5 ,,,,
2 x 5.75 ,,,,
2 x 6 ,,,,
2 x 8 ,,,,
2.25  x 4 ,,,,
2.25  x 7.75 ,,,,
2.5  x 1.5 ,,,,
2.5  x 3 ,,,,
2.5  x 3.5 ,,,,
2.5  x 4 ,,,,
2.5 x 0.75 ,,,,
2.5 x 1 ,,,,
2.5 x 3 ,,,,
2.5 x 4 ,,,,
2.5 x 5 ,,,,
2.5 x 6 ,,,,
2.5 x 7 ,,,,
2.625 x 1 ,,,,
2.75  x 1.5 ,,,,
2.75 x 7 ,,,,
2.75 x 7.5 ,,,,
3  x 1 ,,,,
3  x 1.5 ,,,,
3  x 2 ,,,,
3  x 2.5 ,,,,
3  x 4 ,,,,
3  x 5 ,,,,
3 x 2. 5 ,,,,
3 x 3 ,,,,
3 x 6 ,,,,
3 x 7 ,,,,
3.125 x 7.375 ,,,,
3.25 x 2 ,,,,
3.25 x 7.75 ,,,,
3.333 x 4 ,,,,
3.5  x 1.5 ,,,,
3.5  x 2.5 ,,,,
3.5  x 4 ,,,,
3.5  x 5 ,,,,
3.5  x 8 ,,,,
3.5 x 7 ,,,,
"3"" x 5"" ",,,,
4  x 1.5 ,,,,
4  x 2 ,,,,
4  x 3.333 ,,,,
4  x 5 ,,,,
4 x 1 ,,,,
4 x 2.3125 ,,,,
4 x 2.5 ,,,,
4 x 3 ,,,,
4 x 4 ,,,,
4 x 6 ,,,,
4 x 7 ,,,,
4.25  x 2 ,,,,
4.25  x 7.75 ,,,,
4.25 x 1.75 ,,,,
4.25 x 3 ,,,,
4.25 x 5.75 ,,,,
4.5 x 2 ,,,,
4.5 x 5.5 ,,,,
5  x 1.5 ,,,,
5  x 2 ,,,,
5  x 8 ,,,,
5 x 2.5 ,,,,
5 x 3 ,,,,
5 x 3.5 ,,,,
5 x 4 ,,,,
5 x 7 ,,,,
5.125 x 8.125 ,,,,
5.5 x 2 ,,,,
5.5 x 4.5 ,,,,
5.75 x 2 ,,,,
6  x 2 ,,,,
6  x 3 ,,,,
6 x 1.5 ,,,,
6 x 2.5 ,,,,
"6 x 2""",,,,
6 x 4 ,,,,
6 x 6 ,,,,
6.25 x 5 ,,,,
6.5 x 4 ,,,,
6.75 x 1.5 ,,,,
7  x 2 ,,,,
7  x 2.5 ,,,,
7  x 2.75 ,,,,
7  x 3 ,,,,
7  x 5 ,,,,
7  x 5.25 ,,,,
7 x 1 ,,,,
7 x 4 ,,,,
7.5  x 1.5 ,,,,
7.5 x 2.75 ,,,,
7.5 x 3.5625 ,,,,
7.5 x 5 ,,,,
7.5 x 6 ,,,,
7.75  x 2.25 ,,,,
7.75  x 3.25 ,,,,
7.75  x 4.25 ,,,,
8  x 3.5 ,,,,
8  x 5 ,,,,
8 x 2 ,,,,
8 x 4 ,,,,
8 x 6 ,,,,
8.125 x 3.5625 ,,,,
8.125 x 5 ,,,,
8.125 x 5.125 ,,,,
8.1875 x 1.375 ,,,,
9 x 4 ,,,,
9 x 6 ,,,,
9.5  x 6 ,,,,
9.5 x 6 ,,,,
